C,H,N,S,O
45.22566856,29.33403398,0.415281074,0.053147131,24.97186926
44.4495119,28.29095306,0.953406072,0.04285451,26.26327446
44.01346108,27.69218008,0.757408215,0.032872121,27.5040785
51.99453502,26.71861737,0.803347825,0.030786808,20.45271297
66.61850068,20.08831263,0.576014774,0.027689122,12.6894828
53.7266908,26.36511843,0.625904589,0.026573753,19.25571243
53.73767612,23.08812067,0.500506833,0.02267574,22.65102064
33.257993,27.00461556,0.536269073,0.0214555,39.17966686
35.21067118,25.15134178,0.521125682,0.020474725,39.09638663
49.01744686,28.57082613,0.576077488,0.018698504,21.81695102
36.42461911,29.36600571,0.681636701,0.017342927,33.51039555
47.31045855,28.45505223,0.901611665,0.025054516,23.30782303
